iter,goals_per_match,xg_per_team,shots_per_team,box_presence_pct,corners_per_team,home_win_pct,reward_mean,pg_loss_final,vf_loss_final,explained_var_final
1,3.18,1.65,4.2,22.8,1.2,49,0.362,0.0038,281.6059,0.148
2,3.36,1.70,4.3,22.6,1.2,42,0.352,0.0112,281.6837,0.181
3,3.27,1.72,4.3,22.6,1.3,42,0.352,0.0095,272.6559,0.194
4,3.21,1.70,4.3,22.4,1.3,41,0.323,0.0063,288.2543,0.143
5,3.18,1.68,4.3,22.5,1.3,44,0.342,0.0077,265.1693,0.174
6,3.33,1.74,4.4,22.6,1.3,43,0.352,0.0056,289.0320,0.171
7,3.15,1.72,4.3,22.5,1.3,43,0.351,0.0051,290.2590,0.161
8,3.12,1.72,4.4,22.4,1.3,42,0.325,0.0042,295.6711,0.158
9,3.20,1.69,4.3,22.4,1.2,39,0.371,0.0044,276.9318,0.209
10,3.22,1.68,4.3,22.2,1.2,48,0.365,0.0046,285.0512,0.190
11,3.21,1.68,4.2,21.9,1.2,44,0.366,0.0032,300.5208,0.182
12,3.23,1.70,4.3,22.5,1.3,40,0.365,0.0050,277.6507,0.203
13,3.35,1.71,4.3,22.2,1.2,37,0.367,0.0029,283.0663,0.185
14,3.19,1.72,4.3,22.1,1.3,41,0.337,0.0034,274.7064,0.172
15,3.27,1.70,4.3,22.6,1.2,42,0.374,0.0032,273.4890,0.175
16,3.36,1.76,4.4,22.5,1.3,42,0.363,0.0040,302.7309,0.160
17,3.14,1.66,4.2,22.5,1.2,43,0.372,0.0039,250.5102,0.195
18,3.06,1.71,4.3,22.7,1.2,41,0.369,0.0062,308.3505,0.185
19,3.25,1.69,4.3,22.6,1.2,41,0.355,0.0034,243.1304,0.155
20,3.30,1.68,4.3,22.3,1.2,42,0.347,0.0046,279.2202,0.139
21,3.14,1.72,4.4,22.7,1.2,48,0.378,0.0045,288.3387,0.184
22,3.10,1.71,4.3,22.9,1.2,47,0.350,0.0040,263.3667,0.187
23,3.13,1.70,4.3,22.2,1.3,44,0.335,0.0029,266.7135,0.169
24,3.21,1.66,4.2,22.2,1.2,37,0.361,0.0019,302.1048,0.167
25,3.23,1.71,4.4,22.1,1.2,42,0.369,0.0029,274.0185,0.150
26,3.23,1.72,4.3,22.5,1.2,40,0.348,0.0019,283.4592,0.179
27,3.21,1.75,4.4,22.4,1.3,42,0.380,0.0036,291.8540,0.185
28,3.08,1.71,4.4,22.7,1.3,42,0.338,0.0033,288.6089,0.142
29,3.16,1.73,4.4,22.5,1.3,41,0.353,0.0033,255.8865,0.155
30,3.17,1.72,4.3,22.6,1.3,44,0.342,0.0012,290.6889,0.147
